id,name,pref,area,home,original,simple,format,princess,luxury
685,LOS ANGELES BALCONY,東京都,品川・目黒・浜松町・世田谷,3,2,4,10,1,3
706,ルミヴェールTOKYO,東京都,品川・目黒・浜松町・世田谷,5,2,3,10,6,4
712,目白の森 メイヤーライニンガーチャペル,東京都,池袋・練馬・文京・板橋,7,5,5,8,5,5
950,旧軽井沢 ホテル音羽ノ森,長野県,長野県全域,4,3,4,5,3,3
951,石の教会 内村鑑三記念堂,長野県,長野県全域,5,3,4,8,4,4
952,軽井沢高原教会,長野県,長野県全域,5,3,4,7,3,3
953,星野リゾート　リゾナーレ八ヶ岳,山梨県,山梨県全域,5,4,3,9,2,4
955,軽井沢クリークガーデン,長野県,長野県全域,4,4,4,6,3,6
1127,ANELLI(アネーリ) 軽井沢,長野県,長野県全域,5,7,4,12,5,6
1144,湯島天神,東京都,上野・浅草・墨田・江東・江戸川などスカイツリー（R）周辺エリア,1,0,3,6,0,0
1146,南青山サンタキアラ教会,東京都,青山・表参道・渋谷・原宿,2,5,2,7,3,3
1157,LA VIE CLAIR,東京都,新宿・中野・杉並,3,2,6,9,2,5
1170,パレスホテル東京（PALACE HOTEL TOKYO）,東京都,東京駅・皇居周辺,1,2,2,20,4,13
1188,ノートルダム横浜みなとみらい,神奈川県,みなとみらい・桜木町・山手・山下町・関内,6,4,2,11,7,7
1196,THINGS Aoyama Organic Garden.dth,東京都,青山・表参道・渋谷・原宿,7,6,5,7,3,4
1255,シャングリ・ラ ホテル東京,東京都,東京駅・皇居周辺,3,3,2,20,4,15
1291,LA POLTO-ラ ポルト- リズム・リーフ,栃木県,栃木県全域,1,4,4,11,4,4
1292,The Liverary（ザ ライヴラリー）,栃木県,栃木県全域,0,1,1,5,1,3
1295,パラッツォ ドゥカーレ麻布,東京都,赤坂・六本木・麻布,7,4,3,10,3,4
1296,ANAインターコンチネンタルホテル東京,東京都,赤坂・六本木・麻布,2,6,6,21,4,10
1300,ザ・ペニンシュラ東京,東京都,東京駅・皇居周辺,3,3,2,20,3,14
1479,ジェネラス軽井沢,長野県,長野県全域,4,5,3,8,2,4
1511,万平ホテル,長野県,長野県全域,2,2,3,10,2,4
1512,軽井沢プリンスホテル　フォレスターナ軽井沢,長野県,長野県全域,4,5,3,11,3,5
1522,ザ クラブ オブ エクセレント コースト,神奈川県,みなとみらい・桜木町・山手・山下町・関内,5,3,3,13,9,9
1523,ザ コンチネンタル横浜,神奈川県,みなとみらい・桜木町・山手・山下町・関内,5,3,4,11,4,6
1524,大宮八幡宮清涼殿,東京都,新宿・中野・杉並,3,1,2,9,2,3
